OBJECTID,ImgPath,CameraLocation,CameraDirection,y,x,SnapShot,WarningAge,TooOld,AgeInMinutes
105524941,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-IDOTD4-camera_171&direction=W,US 24 at Terminal Road,W,40.56113,-89.75139,https://www.travelmidwest.com/lmiga/snapshot?id=IL-IDOTD4-camera_171&direction=W,true,false,16
105524942,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-IDOTD4-camera_171&direction=E,US 24 at Terminal Road,E,40.56113,-89.75139,https://www.travelmidwest.com/lmiga/snapshot?id=IL-IDOTD4-camera_171&direction=E,true,false,16
105524943,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-IDOTD4-camera_171&direction=S,US 24 at Terminal Road,S,40.56113,-89.75139,https://www.travelmidwest.com/lmiga/snapshot?id=IL-IDOTD4-camera_171&direction=S,true,false,16
105524944,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-IDOTD4-camera_172&direction=W,Sterling Ave. at Scenic Dr.,W,40.74379,-89.6317,https://www.travelmidwest.com/lmiga/snapshot?id=IL-IDOTD4-camera_172&direction=W,true,false,19
105524945,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-IDOTD4-camera_172&direction=E,Sterling Ave. at Scenic Dr.,E,40.74379,-89.6317,https://www.travelmidwest.com/lmiga/snapshot?id=IL-IDOTD4-camera_172&direction=E,true,false,19
105524946,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-IDOTD4-camera_172&direction=S,Sterling Ave. at Scenic Dr.,S,40.74379,-89.6317,https://www.travelmidwest.com/lmiga/snapshot?id=IL-IDOTD4-camera_172&direction=S,true,false,19
105524947,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-IDOTD4-camera_172&direction=N,Sterling Ave. at Scenic Dr.,N,40.74379,-89.6317,https://www.travelmidwest.com/lmiga/snapshot?id=IL-IDOTD4-camera_172&direction=N,true,false,19
105524948,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-cam172_30_51_161&direction=W,Cedar Lake at Rollins,W,42.37889,-88.0897,https://www.lakecountypassage.com/snapshots/Cedar_Lake_@_Rollins_cctv_West_Leg.jpg,false,false,10
105524949,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-cam172_30_51_161&direction=E,Cedar Lake at Rollins,E,42.37889,-88.0897,https://www.lakecountypassage.com/snapshots/Cedar_Lake_@_Rollins_cctv_East_Leg.jpg,false,false,10
105524950,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-cam172_30_51_161&direction=S,Cedar Lake at Rollins,S,42.37889,-88.0897,https://www.lakecountypassage.com/snapshots/Cedar_Lake_@_Rollins_cctv_South_Leg.jpg,false,false,10
105524951,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-cam172_30_51_161&direction=N,Cedar Lake at Rollins,N,42.37889,-88.0897,https://www.lakecountypassage.com/snapshots/Cedar_Lake_@_Rollins_cctv_North_Leg.jpg,false,false,10
105524952,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-186&direction=W,Rollins at Lotus,W,42.37909,-88.10209,https://www.lakecountypassage.com/snapshots/Rollins_@_Lotus_cctv_West_Leg.jpg,false,false,7
105524953,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-186&direction=E,Rollins at Lotus,E,42.37909,-88.10209,https://www.lakecountypassage.com/snapshots/Rollins_@_Lotus_cctv_East_Leg.jpg,false,false,7
105524954,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-190&direction=W,Fairfield at Rollins,W,42.38269,-88.112,https://www.lakecountypassage.com/snapshots/Fairfield_@_Rollins_cctv_West_Leg.jpg,false,false,7
105524955,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-190&direction=E,Fairfield at Rollins,E,42.38269,-88.112,https://www.lakecountypassage.com/snapshots/Fairfield_@_Rollins_cctv_East_Leg.jpg,false,false,7
105524956,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-190&direction=S,Fairfield at Rollins,S,42.38269,-88.112,https://www.lakecountypassage.com/snapshots/Fairfield_@_Rollins_cctv_South_Leg.jpg,false,false,7
105524957,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-190&direction=N,Fairfield at Rollins,N,42.38269,-88.112,https://www.lakecountypassage.com/snapshots/Fairfield_@_Rollins_cctv_North_Leg.jpg,false,false,7
105524958,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-189&direction=W,Rollins at Wilson,W,42.38119,-88.1399,https://www.lakecountypassage.com/snapshots/Rollins_@_Wilson_cctv_West_Leg.jpg,false,false,7
105524959,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-189&direction=E,Rollins at Wilson,E,42.38119,-88.1399,https://www.lakecountypassage.com/snapshots/Rollins_@_Wilson_cctv_East_Leg.jpg,false,false,7
105524960,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-189&direction=S,Rollins at Wilson,S,42.38119,-88.1399,https://www.lakecountypassage.com/snapshots/Rollins_@_Wilson_cctv_South_Leg.jpg,false,false,7
105524961,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-189&direction=N,Rollins at Wilson,N,42.38119,-88.1399,https://www.lakecountypassage.com/snapshots/Rollins_@_Wilson_cctv_North_Leg.jpg,false,false,7
105524962,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-cam172_30_35_161&direction=S,St Marys at Rockland,S,42.27759,-87.92489,https://www.lakecountypassage.com/snapshots/St_Marys_@_Rockland_cctv_South_Leg.jpg,false,false,9
105524963,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-LAKECOUNTY-cam172_30_35_161&direction=N,St Marys at Rockland,N,42.27759,-87.92489,https://www.lakecountypassage.com/snapshots/St_Marys_@_Rockland_cctv_North_Leg.jpg,false,false,9
105524964,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-ISTHA-2915&direction=W,TWR PL21 WB (Waukegan) Top,W,42.4314,-87.9514,https://www.travelmidwest.com/lmiga/snapshot?id=IL-ISTHA-2915&direction=W,false,false,1
105524965,https://www.travelmidwest.com/lmiga/showCamera.jsp?id=IL-ISTHA-2915&direction=E,TWR PL21 WB (Waukegan) Top,E,42.4314,-87.9514,https://www.travelmidwest.com/lmiga/snapshot?id=IL-ISTHA-2915&direction=E,false,false,1
